years,Age group,Cause of death (ICD-10),VALUE
2005,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],817
2006,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],900
2007,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],925
2008,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],1007
2009,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],880
2010,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],902
2011,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],909
2012,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],944
2013,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],965
2014,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],939
2015,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],936
2016,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],881
2017,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],889
2018,50 to 54 years,Malignant neoplasms of digestive organs [C15-C26],795
2000,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],910
2001,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],901
2002,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],930
2003,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],921
2004,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],883
2005,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],935
2006,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],941
2007,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],956
2008,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],944
2009,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1018
2010,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],969
2011,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],955
2012,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],947
2013,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],834
2014,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],756
2015,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],698
2016,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],655
2017,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],590
2018,50 to 54 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],507
2000,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2001,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2002,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2003,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2004,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],3
2005,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2006,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2007,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],7
2008,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2009,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2010,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],10
2011,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],12
2012,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2013,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
2014,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2015,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],9
2016,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],15
2017,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],13
2018,50 to 54 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2000,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],63
2001,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],61
2002,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],83
2003,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],74
2004,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],69
2005,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],58
2006,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],85
2007,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],77
2008,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],81
2009,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],113
2010,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],86
2011,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],88
2012,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],94
2013,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],84
2014,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],77
2015,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],75
2016,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],55
2017,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],70
2018,50 to 54 years,Melanoma and other malignant neoplasms of skin [C43-C44],67
2000,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],52
2001,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],55
2002,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],47
2003,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],50
2004,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],47
2005,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],52
2006,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],54
2007,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],55
2008,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],39
2009,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],59
2010,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],60
2011,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],37
2012,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],58
2013,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],54
2014,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],58
2015,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],54
2016,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],54
2017,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],44
2018,50 to 54 years,Malignant neoplasms of mesothelial and soft tissue [C45-C49],50
2000,50 to 54 years,Malignant neoplasm of breast [C50],477
2001,50 to 54 years,Malignant neoplasm of breast [C50],451
2002,50 to 54 years,Malignant neoplasm of breast [C50],421
2003,50 to 54 years,Malignant neoplasm of breast [C50],449
2004,50 to 54 years,Malignant neoplasm of breast [C50],434
2005,50 to 54 years,Malignant neoplasm of breast [C50],402
2006,50 to 54 years,Malignant neoplasm of breast [C50],409
2007,50 to 54 years,Malignant neoplasm of breast [C50],402
2008,50 to 54 years,Malignant neoplasm of breast [C50],392
2009,50 to 54 years,Malignant neoplasm of breast [C50],358
2010,50 to 54 years,Malignant neoplasm of breast [C50],423
2011,50 to 54 years,Malignant neoplasm of breast [C50],409
2012,50 to 54 years,Malignant neoplasm of breast [C50],376
2013,50 to 54 years,Malignant neoplasm of breast [C50],363
2014,50 to 54 years,Malignant neoplasm of breast [C50],388
2015,50 to 54 years,Malignant neoplasm of breast [C50],381
2016,50 to 54 years,Malignant neoplasm of breast [C50],369
2017,50 to 54 years,Malignant neoplasm of breast [C50],351
2018,50 to 54 years,Malignant neoplasm of breast [C50],309
2000,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],182
2001,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],194
2002,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],184
2003,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],194
2004,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],199
2005,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],211
2006,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],235
2007,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],197
2008,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],213
2009,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],211
2010,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],215
2011,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],236
2012,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],235
2013,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],205
2014,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],217
2015,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],216
2016,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],221
2017,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],219
2018,50 to 54 years,Malignant neoplasms of female genital organs [C51-C58],201
2000,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],33
2001,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],27
2002,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],43
2003,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],33
2004,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],27
2005,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],39
2006,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],29
2007,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],40
2008,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],40
2009,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],39
2010,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],44
2011,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],39
2012,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],47
2013,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],40
2014,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],31
2015,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],45
2016,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],40
2017,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],34
2018,50 to 54 years,Malignant neoplasms of male genital organs [C60-C63],27
2000,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],143
2001,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],113
2002,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],124
2003,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],136
2004,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],115
2005,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],122
2006,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],132
2007,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],115
2008,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],129
2009,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],143
2010,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],134
2011,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],141
2012,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],144
2013,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],151
2014,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],117
2015,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],122
2016,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],119
2017,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],109
2018,50 to 54 years,Malignant neoplasms of urinary tract [C64-C68],97
2000,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",158
2001,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",135
2002,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",145
2003,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",129
2004,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",155
2005,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",157
2006,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",142
2007,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",163
2008,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",164
2009,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",163
2010,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",155
2011,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",151
2012,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",161
2013,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",171
2014,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",191
2015,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",173
2016,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",184
2017,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",163
2018,50 to 54 years,"Malignant neoplasms of eye, brain and other parts of central nervous system [C69-C72]",146
2000,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],10
2001,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],10
2002,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],7
2003,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],10
2004,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],17
2005,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],13
2006,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],9
2007,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],16
2008,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],10
2009,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],13
2010,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],12
2011,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],10
2012,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2013,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],14
2014,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],20
2015,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],20
2016,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2017,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],16
2018,50 to 54 years,Malignant neoplasms of thyroid and other endocrine glands [C73-C75],15
2000,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",178
2001,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",191
2002,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",185
2003,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",171
2004,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",187
2005,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",178
2006,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",166
2007,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",173
2008,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",144
2009,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",147
2010,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",132
2011,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",137
2012,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",134
2013,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",112
2014,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",100
2015,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",109
2016,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",103
2017,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",91
2018,50 to 54 years,"Malignant neoplasms of ill-defined, secondary and unspecified sites [C76-C80]",90
2000,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",268
2001,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",256
2002,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",251
2003,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",272
2004,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",280
2005,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",210
2006,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",243
2007,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",247
2008,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",262
2009,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",238
2010,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",227
2011,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",250
2012,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",247
2013,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",250
2014,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",223
2015,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",218
2016,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",207
2017,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",212
2018,50 to 54 years,"Malignant neoplasms of lymphoid, haematopoietic and related tissue [C81-C96]",172
2000,55 to 59 years,"Total, all causes of death [A00-Y89]",9339
2001,55 to 59 years,"Total, all causes of death [A00-Y89]",9396
2002,55 to 59 years,"Total, all causes of death [A00-Y89]",10035
2003,55 to 59 years,"Total, all causes of death [A00-Y89]",10189
2004,55 to 59 years,"Total, all causes of death [A00-Y89]",10611
2005,55 to 59 years,"Total, all causes of death [A00-Y89]",10878
2006,55 to 59 years,"Total, all causes of death [A00-Y89]",10848
2007,55 to 59 years,"Total, all causes of death [A00-Y89]",11194
2008,55 to 59 years,"Total, all causes of death [A00-Y89]",11334
2009,55 to 59 years,"Total, all causes of death [A00-Y89]",11176
2010,55 to 59 years,"Total, all causes of death [A00-Y89]",11336
2011,55 to 59 years,"Total, all causes of death [A00-Y89]",11497
2012,55 to 59 years,"Total, all causes of death [A00-Y89]",11919
2013,55 to 59 years,"Total, all causes of death [A00-Y89]",12065
2014,55 to 59 years,"Total, all causes of death [A00-Y89]",12300
2015,55 to 59 years,"Total, all causes of death [A00-Y89]",12377
2016,55 to 59 years,"Total, all causes of death [A00-Y89]",12499
2017,55 to 59 years,"Total, all causes of death [A00-Y89]",12460
2018,55 to 59 years,"Total, all causes of death [A00-Y89]",12417
2000,55 to 59 years,Chapter II: Neoplasms [C00-D48],4494
2001,55 to 59 years,Chapter II: Neoplasms [C00-D48],4532
2002,55 to 59 years,Chapter II: Neoplasms [C00-D48],4806
2003,55 to 59 years,Chapter II: Neoplasms [C00-D48],4789
2004,55 to 59 years,Chapter II: Neoplasms [C00-D48],5056
2005,55 to 59 years,Chapter II: Neoplasms [C00-D48],5095
2006,55 to 59 years,Chapter II: Neoplasms [C00-D48],5122
2007,55 to 59 years,Chapter II: Neoplasms [C00-D48],5265
2008,55 to 59 years,Chapter II: Neoplasms [C00-D48],5190
2009,55 to 59 years,Chapter II: Neoplasms [C00-D48],5155
2010,55 to 59 years,Chapter II: Neoplasms [C00-D48],5181
2011,55 to 59 years,Chapter II: Neoplasms [C00-D48],5224
2012,55 to 59 years,Chapter II: Neoplasms [C00-D48],5421
2013,55 to 59 years,Chapter II: Neoplasms [C00-D48],5479
2014,55 to 59 years,Chapter II: Neoplasms [C00-D48],5452
2015,55 to 59 years,Chapter II: Neoplasms [C00-D48],5499
2016,55 to 59 years,Chapter II: Neoplasms [C00-D48],5312
2017,55 to 59 years,Chapter II: Neoplasms [C00-D48],5407
2018,55 to 59 years,Chapter II: Neoplasms [C00-D48],5155
2000,55 to 59 years,Malignant neoplasms [C00-C97],4440
2001,55 to 59 years,Malignant neoplasms [C00-C97],4481
2002,55 to 59 years,Malignant neoplasms [C00-C97],4748
2003,55 to 59 years,Malignant neoplasms [C00-C97],4725
2004,55 to 59 years,Malignant neoplasms [C00-C97],5007
2005,55 to 59 years,Malignant neoplasms [C00-C97],5031
2006,55 to 59 years,Malignant neoplasms [C00-C97],5072
2007,55 to 59 years,Malignant neoplasms [C00-C97],5211
2008,55 to 59 years,Malignant neoplasms [C00-C97],5140
2009,55 to 59 years,Malignant neoplasms [C00-C97],5103
2010,55 to 59 years,Malignant neoplasms [C00-C97],5125
2011,55 to 59 years,Malignant neoplasms [C00-C97],5186
2012,55 to 59 years,Malignant neoplasms [C00-C97],5370
2013,55 to 59 years,Malignant neoplasms [C00-C97],5441
2014,55 to 59 years,Malignant neoplasms [C00-C97],5406
2015,55 to 59 years,Malignant neoplasms [C00-C97],5450
2016,55 to 59 years,Malignant neoplasms [C00-C97],5259
2017,55 to 59 years,Malignant neoplasms [C00-C97],5344
2018,55 to 59 years,Malignant neoplasms [C00-C97],5096
2000,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",81
2001,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",96
2002,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",109
2003,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",110
2004,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",118
2005,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",103
2006,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",90
2007,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",115
2008,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",115
2009,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",103
2010,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",119
2011,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",133
2012,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",120
2013,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",160
2014,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",147
2015,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",137
2016,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",162
2017,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",138
2018,55 to 59 years,"Malignant neoplasms of lip, oral cavity and pharynx [C00-C14]",153
2000,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1089
2001,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1116
2002,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1153
2003,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1206
2004,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1263
2005,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1336
2006,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1386
2007,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1419
2008,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1358
2009,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1320
2010,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1393
2011,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1440
2012,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1489
2013,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1530
2014,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1595
2015,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1604
2016,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1568
2017,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1537
2018,55 to 59 years,Malignant neoplasms of digestive organs [C15-C26],1510
2000,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1433
2001,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1388
2002,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1528
2003,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1436
2004,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1538
2005,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1530
2006,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1509
2007,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1551
2008,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1555
2009,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1526
2010,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1544
2011,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1585
2012,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1564
2013,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1603
2014,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1579
2015,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1548
2016,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1477
2017,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1448
2018,55 to 59 years,Malignant neoplasms of respiratory and intrathoracic organs [C30-C39],1344
2000,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],4
2001,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],5
2002,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],6
2003,55 to 59 years,Malignant neoplasms of bone and articular cartilage [C40-C41],8
